truth,preds,lon,lat
254.635440470235,528.9658742881147,-72.74737201818695,44.88301340903118
615.949118071445,596.0743862011586,-77.93958096630068,41.645065987350435
61.0990144624358,541.3830794752575,-74.35874720898086,40.8790372163412
236.576367675544,372.3568054539501,-86.23058835824888,42.116711047900814
1082.46163880613,1109.9860518523492,-111.99881897342343,48.16017378964519
202.280282924334,1173.7032196479267,-99.57608032302929,28.116884016613245
712.736633821393,347.94256814254913,-102.93655507989865,47.89308524902822
391.207657824882,471.5074333228986,-118.8850377375,34.941617276003505
223.719526713719,294.3364626870607,-86.40963004611487,41.511144300274154
877.546905405433,1258.1850153061096,-111.13115540914978,33.25395119443836
1682.46126923878,1601.9789245738648,-104.96110339653717,38.46262373254458
431.647566812627,653.3888040469028,-98.08865706998874,42.89840298015654
2129.23813828089,1328.0267343680025,-115.8551014813063,41.95305551476658
2413.32671321106,1382.82047511969,-107.90840502756194,40.167209831877216
1047.46550419328,882.6148333002639,-117.10839329636825,48.65382571037822
541.119570470073,833.3455236197333,-98.73596163381194,39.04256252418066
1698.73558511814,1124.4609377266606,-110.84193422105857,35.77273184252268
218.457825246977,270.4447233369574,-85.0461587308277,38.47340613274777
654.965065336099,-6.144383831328014,-83.84795666587839,35.21210480977831
47.1825126443577,316.1424587147776,-90.32100230411037,34.21594891211778
11.1267701803467,137.50783800310455,-82.26412635014077,27.165306925394514
179.0,176.50336959399283,-91.17489343085586,46.98965052495747
2629.42355819101,1517.9285694262362,-111.87486703567005,38.37630649966991
78.759721474483,335.13795512507204,-89.94914649085024,36.362710403606776
789.182831305034,796.0766682333197,-117.17725548400901,47.392056854025284
314.659203268906,298.66409706516424,-69.20785557345158,45.85050028608622
795.454682469783,1282.843391562812,-115.33174885523648,33.47248883675828
351.106736848211,369.409938837809,-96.31201262885699,46.470494686810504
526.516428165025,1096.307400452497,-98.72218919628378,42.92866056362774
2049.73961801542,1217.2037436292158,-109.01020002981419,37.85624029821692
