kids,year,city16,lowincome16,immigrant,iscaucasian,age_std,education_std,siblings_std
2,1994,1,0,0,1,-0.8496528521337693,-1.2526713281062687,0.29699755331752303
0,1994,1,0,0,1,1.6721538983926474,-0.29096084740445,-0.9202239648847665
8,1998,0,0,0,0,2.265520192634157,-3.4966624497438454,1.5142190715198125
2,1994,0,0,0,1,-0.47879891823282567,0.3501794730634291,-0.3116132057836217
6,1998,0,0,0,1,-1.2946775728149016,-0.29096084740445,0.9056083124186678
2,1994,1,0,0,0,-1.3688483595950904,-0.29096084740445,1.2099136919692401
4,1990,1,0,0,1,-1.3688483595950904,-0.29096084740445,-0.3116132057836217
3,1994,0,0,0,1,0.8562752438105714,0.3501794730634291,-0.6159185853341941
0,1994,1,0,0,1,-0.8496528521337693,0.9913197935313082,-0.6159185853341941
3,1994,0,0,0,1,0.4854213099096278,-0.29096084740445,-0.6159185853341941
3,1998,1,0,0,1,0.4854213099096278,-0.29096084740445,-0.6159185853341941
4,1990,0,1,0,1,-1.2946775728149016,-0.29096084740445,0.9056083124186678
2,1998,0,0,0,1,-1.220506786034713,-0.29096084740445,-0.007307826233049345
4,1998,1,0,0,0,-1.0721652124743355,-0.29096084740445,-0.3116132057836217
4,1998,0,0,0,1,0.18873816278887287,0.3501794730634291,-0.9202239648847665
4,1990,1,0,1,1,1.0787876041511375,-0.29096084740445,0.6013029328680954
2,1994,1,1,1,1,-0.7754820653535806,1.953030274233127,-0.6159185853341941
0,1994,1,0,0,1,2.265520192634157,-1.5732414883402082,-0.007307826233049345
0,1994,1,0,0,1,0.2629089495690616,1.6324601139991872,-0.007307826233049345
2,1994,0,0,0,1,0.6337628834700052,-0.29096084740445,-0.3116132057836217
0,1998,0,0,0,1,-0.8496528521337693,0.6707496332973686,-0.3116132057836217
3,1994,1,0,0,1,-0.3304573446724482,0.9913197935313082,-1.224529344435339
4,1994,1,0,0,1,0.3370797363492503,-0.29096084740445,-0.3116132057836217
3,1998,1,0,0,1,-1.0721652124743355,-0.29096084740445,-0.3116132057836217
3,1998,0,0,0,1,-0.923823638913958,-0.29096084740445,-0.3116132057836217
4,1998,0,0,0,0,-1.3688483595950904,0.029609312829489552,-0.6159185853341941
3,1998,0,0,0,0,-1.0721652124743355,-4.137802770211724,2.731440589722102
3,1990,0,0,0,1,-0.8496528521337693,-0.29096084740445,-0.9202239648847665
2,1990,1,1,1,1,1.0787876041511375,0.3501794730634291,-0.6159185853341941
1,1994,1,0,0,1,-1.220506786034713,0.9913197935313082,-0.007307826233049345
2,1990,1,0,0,1,0.7079336702501939,0.3501794730634291,-0.6159185853341941
2,1994,0,0,0,1,-1.0721652124743355,0.9913197935313082,0.29699755331752303
3,1998,0,0,1,1,0.8562752438105714,0.9913197935313082,0.29699755331752303
5,1994,0,1,0,0,0.7821044570303827,-1.2526713281062687,1.2099136919692401
2,1994,0,0,0,1,-0.7013112785733918,0.3501794730634291,0.29699755331752303
3,1998,0,0,0,1,0.18873816278887287,0.9913197935313082,0.9056083124186678
1,1994,0,0,0,0,-1.220506786034713,0.3501794730634291,-0.007307826233049345
3,1994,0,0,0,1,2.043007832293591,1.6324601139991872,1.5142190715198125
